Algorithm,Problem,Iteration,Indicator,Average,Median,StandardDeviation,Count
VEGA,UF2,8700,GenerationalDistance,0.01599249156757024,0.015217248956916132,0.002965680394908672,10
VEGA,UF2,8800,GenerationalDistance,0.014228301210640528,0.013608715175264696,0.003470227221158008,10
VEGA,UF2,8900,GenerationalDistance,0.015504641859941564,0.015028594425527243,0.004086091010333994,10
VEGA,UF2,9000,GenerationalDistance,0.01445076872611298,0.014055714563988336,0.0032533848107596654,10
VEGA,UF2,9100,GenerationalDistance,0.015296700812247968,0.015620301158581207,0.0035070678149920235,10
VEGA,UF2,9200,GenerationalDistance,0.014696668613538518,0.015328941938656894,0.00275708671847841,10
VEGA,UF2,9300,GenerationalDistance,0.014559159367583422,0.014591474401179437,0.003026694095073927,10
VEGA,UF2,9400,GenerationalDistance,0.013446334263342644,0.014029254739987066,0.0020492395412823683,10
VEGA,UF2,9500,GenerationalDistance,0.01439217687503818,0.014225683408994962,0.003882861401074128,10
VEGA,UF2,9600,GenerationalDistance,0.013131665924898367,0.012501686952298072,0.002645149095426109,10
VEGA,UF2,9700,GenerationalDistance,0.01374500183175197,0.013650675282524467,0.004131640253946388,10
VEGA,UF2,9800,GenerationalDistance,0.013582113561285436,0.014529255512777369,0.0033553625423647006,10
VEGA,UF2,9900,GenerationalDistance,0.013460753985853172,0.01374864778117111,0.0032090757375009614,10
VEGA,UF2,10000,GenerationalDistance,0.014155226023903988,0.014600659816522808,0.0036324982629687367,10
VEGA,UF3,100,Hypervolume,0.0,0.0,0.0,3
VEGA,UF3,200,Hypervolume,0.0,0.0,0.0,3
VEGA,UF3,300,Hypervolume,0.0,0.0,0.0,3
VEGA,UF3,400,Hypervolume,0.0,0.0,0.0,3
VEGA,UF3,500,Hypervolume,0.0,0.0,0.0,3
VEGA,UF3,600,Hypervolume,0.0,0.0,0.0,3
VEGA,UF3,700,Hypervolume,0.0,0.0,0.0,3
VEGA,UF3,800,Hypervolume,0.0,0.0,0.0,3
VEGA,UF3,900,Hypervolume,1.6895207041417025E-4,0.0,2.926335700012974E-4,3
VEGA,UF3,1000,Hypervolume,0.0,0.0,0.0,3
